收入（亿元）,2016年,占比,2015年,占比,2014年,占比
国内,2365.,12,45.3\%,1676.90,42\%,1088.81,37.8\%
国外,2850.62,54.7\%,1584.97,58\%,1793.16,62.2\%
合计,5215.,74,100\%,3950.09,100\%,2881.97,100\%
